Récolte,GrumesFeuillus,GrumesConifères,GrumesTotal,Bois d'industrieTrituration,Bois d'industrieAutres,Bois énergie,Total récolte,Dont bois certifiés
France,"4,813","13,698","18,511","9,619",645,"10,365","39,140","20,358"
Auvergne-Rhône-Alpes,259,"3,888","4,147",554,92,"1,168","5,961","2,144"
Bourgogne-Franche-Comté,933,"2,113","3,045",910,64,"1,283","5,302","2,606"
Bretagne,130,435,564,136,11,390,"1,101",253
Centre-Val de Loire,414,299,713,611,66,732,"2,122",941
Corse,0,4,4,0,0,12,16,5
Grand Est,"1,122","1,589","2,711","1,721",24,"2,194","6,650","4,248"
Hauts-de-France,595,106,701,293,54,"1,085","2,133","1,447"
Île-de-France,95,9,104,34,0,182,320,118
Normandie,230,192,422,142,8,585,"1,158",561
Nouvelle-Aquitaine,595,"3,653","4,248","4,203",253,"1,271","9,975","6,399"
Occitanie,172,"1,046","1,219",620,22,636,"2,497",990
Pays de la Loire,264,287,551,179,36,501,"1,266",460
Provence-Alpes-Côte d'Azur,4,78,81,218,14,324,638,188
